TestRunStatus,ExecutionDate,Document Key,Name,Assigned To
PASSED,2024-09-16,KCE-TSTRN-3574259,Movable stops - PIT - Person in PIT - buffers down - Inspection mode OFF,Harini Sri
FAILED,2024-01-30,KCE-TSTRN-3509583,Movable stops - PIT - Person in PIT - buffers down - Inspection mode ON,Harini Sri
PASSED,2024-09-16,KCE-TSTRN-3574260,Movable stops - PIT - Person in PIT - buffers down - Inspection mode ON,Harini Sri
FAILED,2024-01-30,KCE-TSTRN-3509579,Movable stops - PIT - Person in PIT - buffers down - H6 stuck,Harini Sri
PASSED,2024-09-16,KCE-TSTRN-3574256,Movable stops - PIT - Person in PIT - buffers down - H6 stuck,Harini Sri
FAILED,2024-01-30,KCE-TSTRN-3509581,Movable stops - PIT - Person in PIT - buffers up - Inspection mode OFF,Harini Sri
PASSED,2024-09-16,KCE-TSTRN-3574258,Movable stops - PIT - Person in PIT - buffers up - Inspection mode OFF,Harini Sri
FAILED,2024-01-30,KCE-TSTRN-3509575,Movable stops - PIT - Person in PIT - buffers up - H6 stuck,Harini Sri
PASSED,2024-09-16,KCE-TSTRN-3574252,Movable stops - PIT - Person in PIT - buffers up - H6 stuck,Harini Sri
FAILED,2024-01-30,KCE-TSTRN-3509616,Movable stops - PIT - Person in PIT - buffers up - Inspection mode ON - H3 OFF,Harini Sri
PASSED,2024-09-16,KCE-TSTRN-3574293,Movable stops - PIT - Person in PIT - buffers up - Inspection mode ON - H3 OFF,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509576,Movable stops - Car top - Person in car top - Balustrate up - H7 OFF - H6 ON - TOC OFF,Harini Sri
PASSED,2024-09-17,KCE-TSTRN-3574253,Movable stops - Car top - Person in car top - Balustrate up - H7 OFF - H6 ON - TOC OFF,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509612,Movable stops - Car top - Person in car top - Balustrate up - H7 ON - H6 OFF - H5 stuck,Harini Sri
PASSED,2024-09-17,KCE-TSTRN-3574289,Movable stops - Car top - Person in car top - Balustrate up - H7 ON - H6 OFF - H5 stuck,Harini Sri
FAILED,2024-01-30,KCE-TSTRN-3509597,Movable stops - Rush test - PIT and Car top - Person detected both pit and car top ,Harini Sri
FAILED,2024-09-18,KCE-TSTRN-3574274,Movable stops - Rush test - PIT and Car top - Person detected both pit and car top ,Harini Sri
PASSED,2024-01-23,KCE-TSTRN-3509617,Pre-triggered - Car top - No person in car top,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509610,Pre-triggered - Person in car top - triggering device extented - Additional balustrate OFF - TOC ON - H3 ON,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509606,Pre-triggered - Person in car top - triggering device extented - TOC ON - H3 ON,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509604,Pre-triggered - Person in car top - triggering device retracted - Additional balustrate OFF,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509601,Pre-triggered - Person in car top - triggering device retracted - Additional balustrate ON - TOC OFF,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509607,Pre-triggered - Person in car top - triggering device retracted - TOC ON,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509605,Pre-triggered - Person in car top - triggering device retracted - C8 stuck,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509603,Pre-triggered - Person in car top - triggering device extented - Additional balustrate ON,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509595,Pre-triggered - Person in car top - triggering device extented - TOC OFF,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509596,Pre-triggered - Person in car top - triggering device extented - C8 stuck,Harini Sri
PASSED,2024-01-24,KCE-TSTRN-3509590,Pre-triggered - Person in car top - triggering device extented - TOC ON - H3 OFF,Harini Sri
FAILED,2024-01-30,KCE-TSTRN-3509586,Pre-triggered - Person in PIT - triggering device extented - Inspection mode ON - H3 ON - Additional balustrate configured,Harini Sri
FAILED,2024-01-23,KCE-TSTRN-3509614,Pre-triggered - Person in PIT - triggering device retracted - Inspection mode OFF,Harini Sri
FAILED,2024-01-23,KCE-TSTRN-3509591,Pre-triggered - Person in PIT - triggering device retracted - Inspection mode ON,Harini Sri
FAILED,2024-01-23,KCE-TSTRN-3509585,Pre-triggered - Person in PIT - triggering device retracted - C8 stuck,Harini Sri
PASSED,2024-09-17,KCE-TSTRN-3574262,Pre-triggered - Person in PIT - triggering device retracted - C8 stuck,Harini Sri
FAILED,2024-01-23,KCE-TSTRN-3509580,Pre-triggered - Person in PIT - triggering device extented - C8 stuck,Harini Sri
PASSED,2024-09-17,KCE-TSTRN-3574257,Pre-triggered - Person in PIT - triggering device extented - C8 stuck,Harini Sri
FAILED,2024-01-23,KCE-TSTRN-3509577,Pre-triggered - Person in PIT - triggering device extented - Inspection mode OFF,Harini Sri
